patch_id,FIA_Forest_Type,patch_acres,acres,num_patches
12828,Yellow-poplar,15,30149,211
12829,Chestnut Oak,15,32022,87
12830,Mixed Upland Hardwoods,46,949111,3291
12831,Mixed Upland Hardwoods,46,949111,3291
12832,Mixed Upland Hardwoods,16,949111,3291
12833,Mixed Upland Hardwoods,45,949111,3291
12834,Eastern Redcedar / Hardwood,47,1448,24
12834,Virginia Pine / Southern Red Oak,79,19632,66
12834,Other Pine / Hardwood,16,1298,10
12834,White Oak / Red Oak / Hickory,580,115120,329
12834,White Oak,62,9348,53
12834,Sweetgum / Yellow-poplar,659,512092,300
12834,Black Locust,16,840,24
12834,Mixed Upland Hardwoods,93,949111,3291
12834,Black Ash / American Elm / Red Maple,31,6349,106
12834,Black Cherry,64,77569,93
12835,Mixed Upland Hardwoods,16,949111,3291
12837,Yellow-poplar,338,30149,211
12837,Mixed Upland Hardwoods,15,949111,3291
12839,Mixed Upland Hardwoods,46,949111,3291
12840,Mixed Upland Hardwoods,16,949111,3291
12843,Mixed Upland Hardwoods,76,949111,3291
12843,Sugar Maple / Beech / Yellow Birch,16,38274,63
12844,Mixed Upland Hardwoods,218,949111,3291
12845,Mixed Upland Hardwoods,93,949111,3291
12846,Post Oak / Blackjack Oak,31,8206,99
12846,Yellow-poplar,14,30149,211
12846,Mixed Upland Hardwoods,62,949111,3291
12847,Yellow-poplar,63,30149,211
12847,Mixed Upland Hardwoods,214,949111,3291
12850,Red Maple / Upland,15,584,18
12851,White Oak / Red Oak / Hickory,73,115120,329
12851,White Oak,31,9348,53
12851,Sweetgum / Yellow-poplar,116,512092,300
12851,Mixed Upland Hardwoods,15818,949111,3291
12851,Sweetgum / Nuttall Oak / Willow Oak,16,21784,138
12851,River Birch / Sycamore,30,1228,16
12851,Sycamore / Pecan / American Elm,30,7296,88
12851,Sugarberry / Hackberry / Elm / Green Ash,2,326,6
12852,Mixed Upland Hardwoods,15,949111,3291
12853,Yellow-poplar,31,30149,211
12854,Post Oak / Blackjack Oak,16,8206,99
12855,Yellow-poplar,31,30149,211
12855,Mixed Upland Hardwoods,169,949111,3291
12859,Mixed Upland Hardwoods,16,949111,3291
12860,Chestnut Oak,15,32022,87
12860,Mixed Upland Hardwoods,16,949111,3291
12861,Yellow-poplar,93,30149,211
12863,Mixed Upland Hardwoods,15,949111,3291
12866,Mixed Upland Hardwoods,15,949111,3291
12867,Red Maple / Upland,15,584,18
12869,Mixed Upland Hardwoods,16,949111,3291
12870,Mixed Upland Hardwoods,15,949111,3291
12872,Yellow-poplar,16,30149,211
12872,Mixed Upland Hardwoods,61,949111,3291
12873,Sweetgum / Yellow-poplar,61,512092,300
12875,Mixed Upland Hardwoods,62,949111,3291
12876,Mixed Upland Hardwoods,275,949111,3291
12877,Sweetgum / Yellow-poplar,62,512092,300
12878,Mixed Upland Hardwoods,16,949111,3291
12883,Sweetgum / Yellow-poplar,16,512092,300
12884,Mixed Upland Hardwoods,16,949111,3291
12885,Mixed Upland Hardwoods,16,949111,3291
12887,Mixed Upland Hardwoods,16,949111,3291
12888,Post Oak / Blackjack Oak,15,8206,99
12888,Yellow-poplar / White Oak / Red Oak,78,16541,139
12888,Yellow-poplar,31,30149,211
12888,Mixed Upland Hardwoods,569,949111,3291
12888,Sugar Maple / Beech / Yellow Birch,31,38274,63
12889,Mixed Upland Hardwoods,78,949111,3291
12891,Mixed Upland Hardwoods,31,949111,3291
12891,River Birch / Sycamore,61,1228,16
12892,Yellow-poplar / White Oak / Red Oak,16,16541,139
12893,Yellow-poplar / White Oak / Red Oak,15,16541,139
12893,Yellow-poplar,216,30149,211
12893,Mixed Upland Hardwoods,170,949111,3291
12893,Sugar Maple / Beech / Yellow Birch,16,38274,63
12894,Post Oak / Blackjack Oak,16,8206,99
12895,Yellow-poplar,16,30149,211
12896,Northern Red Oak,15,6146,21
12897,Virginia Pine / Southern Red Oak,31,19632,66
12898,White Oak / Red Oak / Hickory,46,115120,329
12899,Yellow-poplar,16,30149,211
12899,Mixed Upland Hardwoods,15,949111,3291
12900,Mixed Upland Hardwoods,15,949111,3291
12901,Mixed Upland Hardwoods,15,949111,3291
12904,Mixed Upland Hardwoods,15,949111,3291
12905,Yellow-poplar,186,30149,211
12905,Mixed Upland Hardwoods,47,949111,3291
12905,Cottonwood,16,1175,15
12906,Post Oak / Blackjack Oak,15,8206,99
12906,Mixed Upland Hardwoods,320,949111,3291
12906,Sugar Maple / Beech / Yellow Birch,32,38274,63
12909,Yellow-poplar / White Oak / Red Oak,15,16541,139
12909,Yellow-poplar,46,30149,211
12909,Mixed Upland Hardwoods,16,949111,3291
12910,Sweetgum / Yellow-poplar,31,512092,300
12911,Yellow-poplar,31,30149,211
12911,Mixed Upland Hardwoods,187,949111,3291
12915,Mixed Upland Hardwoods,16,949111,3291
12917,Mixed Upland Hardwoods,47,949111,3291
12921,Eastern Redcedar / Hardwood,31,1448,24
12922,Mixed Upland Hardwoods,15,949111,3291
12924,Mixed Upland Hardwoods,217,949111,3291
12925,Virginia Pine / Southern Red Oak,31,19632,66
12925,Yellow-poplar,46,30149,211
12925,Mixed Upland Hardwoods,494,949111,3291
12929,Yellow-poplar,46,30149,211
12929,Mixed Upland Hardwoods,15,949111,3291
12932,Sweetgum / Yellow-poplar,15,512092,300
12934,Sweetgum / Yellow-poplar,31,512092,300
12935,Mixed Upland Hardwoods,16,949111,3291
12936,Mixed Upland Hardwoods,15,949111,3291
12937,Mixed Upland Hardwoods,0,949111,3291
12938,Post Oak / Blackjack Oak,15,8206,99
12938,Yellow-poplar / White Oak / Red Oak,30,16541,139
12938,Yellow-poplar,78,30149,211
12938,Mixed Upland Hardwoods,1496,949111,3291
12939,Mixed Upland Hardwoods,15,949111,3291
12940,White Oak / Red Oak / Hickory,93,115120,329
12940,Mixed Upland Hardwoods,16,949111,3291
12941,Mixed Upland Hardwoods,31,949111,3291
12943,Yellow-poplar,152,30149,211
12943,Mixed Upland Hardwoods,202,949111,3291
12943,Cottonwood,60,1175,15
12945,Mixed Upland Hardwoods,123,949111,3291
12948,Yellow-poplar,15,30149,211
12950,Sweetgum / Yellow-poplar,15,512092,300
12951,Mixed Upland Hardwoods,46,949111,3291
12952,Sweetgum / Yellow-poplar,15,512092,300
12953,Yellow-poplar,30,30149,211
12954,Mixed Upland Hardwoods,171,949111,3291
12956,Mixed Upland Hardwoods,14,949111,3291
12957,Yellow-poplar,15,30149,211
12959,Mixed Upland Hardwoods,47,949111,3291
12962,Chestnut Oak,16,32022,87
12963,Mixed Upland Hardwoods,15,949111,3291
12965,Eastern Redcedar / Hardwood,17,1448,24
12966,Mixed Upland Hardwoods,15,949111,3291
12969,Yellow-poplar,16,30149,211
12969,Mixed Upland Hardwoods,15,949111,3291
12970,Mixed Upland Hardwoods,78,949111,3291
12971,Mixed Upland Hardwoods,16,949111,3291
12973,Mixed Upland Hardwoods,16,949111,3291
12974,Mixed Upland Hardwoods,15,949111,3291
12975,Sweetgum / Yellow-poplar,16,512092,300
12976,Mixed Upland Hardwoods,14,949111,3291
12977,Yellow-poplar,61,30149,211
12977,Mixed Upland Hardwoods,150,949111,3291
12978,Yellow-poplar / White Oak / Red Oak,16,16541,139
12978,Yellow-poplar,137,30149,211
12978,Red Maple / Oak,94,9392,92
12978,Mixed Upland Hardwoods,834,949111,3291
12978,Sugar Maple / Beech / Yellow Birch,32,38274,63
